year,month,temp,ward
2013,Feb,20.27533279,Rungwe
2013,Feb,19.67969905,Tunduma
2013,Feb,25.05960695,Administrative unit not available
2013,Mar,22.07962025,Mbarali
2013,Mar,18.98751157,Mbeya Rural
2013,Mar,20.38453833,Mbozi
2013,Mar,21.71481723,Momba
2013,Mar,21.56218787,Chunya
2013,Mar,19.14748725,Ileje
2013,Mar,21.98497651,Kyela
2013,Mar,18.08764161,Mbeya Urban
2013,Mar,19.09296404,Rungwe
2013,Mar,19.66336782,Tunduma
2013,Mar,24.74910755,Administrative unit not available
2013,Apr,21.83681789,Mbarali
2013,Apr,18.35388782,Mbeya Rural
2013,Apr,19.71164135,Mbozi
2013,Apr,21.06111765,Momba
2013,Apr,20.95939233,Chunya
2013,Apr,18.20655442,Ileje
2013,Apr,21.23839377,Kyela
2013,Apr,17.54238124,Mbeya Urban
2013,Apr,18.24336537,Rungwe
2013,Apr,18.7530465,Tunduma
2013,Apr,24.35051117,Administrative unit not available
2013,May,21.77587074,Mbarali
2013,May,17.84892884,Mbeya Rural
2013,May,19.50503566,Mbozi
2013,May,21.33978748,Momba
2013,May,21.81542931,Chunya
2013,May,17.05680881,Ileje
2013,May,20.06042777,Kyela
2013,May,16.9652906,Mbeya Urban
2013,May,16.94792767,Rungwe
2013,May,18.32743225,Tunduma
2013,May,24.79060067,Administrative unit not available
2013,Jun,20.01354071,Mbarali
2013,Jun,16.37118228,Mbeya Rural
2013,Jun,18.13875959,Mbozi
2013,Jun,19.79093206,Momba
2013,Jun,20.3691847,Chunya
2013,Jun,14.95510586,Ileje
2013,Jun,17.99201906,Kyela
2013,Jun,15.67302786,Mbeya Urban
2013,Jun,14.95331105,Rungwe
2013,Jun,16.71638703,Tunduma
2013,Jun,22.95742518,Administrative unit not available
2013,Jul,20.0499787,Mbarali
2013,Jul,16.37357815,Mbeya Rural
2013,Jul,18.1766378,Mbozi
2013,Jul,19.91695764,Momba
2013,Jul,20.39740493,Chunya
2013,Jul,14.65273974,Ileje
2013,Jul,17.4213544,Kyela
2013,Jul,15.75144875,Mbeya Urban
2013,Jul,14.62432673,Rungwe
2013,Jul,16.66701051,Tunduma
2013,Jul,22.66655282,Administrative unit not available
2013,Aug,21.07551633,Mbarali
2013,Aug,17.81886825,Mbeya Rural
2013,Aug,19.75178852,Mbozi
2013,Aug,21.51050526,Momba
2013,Aug,21.88769357,Chunya
2013,Aug,16.51341478,Ileje
2013,Aug,19.28204092,Kyela
2013,Aug,17.17208717,Mbeya Urban
2013,Aug,16.33040234,Rungwe
2013,Aug,18.4994318,Tunduma
2013,Aug,23.94108616,Administrative unit not available
2013,Sep,23.4704298,Mbarali
2013,Sep,20.63841458,Mbeya Rural
2013,Sep,22.64670327,Mbozi
2013,Sep,24.33232843,Momba
2013,Sep,24.25456992,Chunya
2013,Sep,19.77379413,Ileje
2013,Sep,22.56199631,Kyela
2013,Sep,19.93841946,Mbeya Urban
2013,Sep,19.66794065,Rungwe
2013,Sep,21.53929724,Tunduma
2013,Sep,26.10101951,Administrative unit not available
2013,Oct,24.34623587,Mbarali
2013,Oct,21.16593614,Mbeya Rural
2013,Oct,23.24786129,Mbozi
2013,Oct,25.22108475,Momba
2013,Oct,25.20665605,Chunya
2013,Oct,20.3976939,Ileje
2013,Oct,23.22666424,Kyela
2013,Oct,20.31817043,Mbeya Urban
2013,Oct,19.91979818,Rungwe
2013,Oct,22.00603528,Tunduma
2013,Oct,27.37373556,Administrative unit not available
2013,Nov,24.91612742,Mbarali
2013,Nov,21.39641966,Mbeya Rural
2013,Nov,23.36479573,Mbozi
2013,Nov,25.1366329,Momba
2013,Nov,24.98092851,Chunya
2013,Nov,21.51829352,Ileje
2013,Nov,24.31792202,Kyela
2013,Nov,20.52610331,Mbeya Urban
2013,Nov,20.84922391,Rungwe
2013,Nov,22.80394445,Tunduma
2013,Nov,27.1321534,Administrative unit not available
2013,Dec,22.32694338,Mbarali
2013,Dec,19.18189846,Mbeya Rural
2013,Dec,20.51509476,Mbozi
2013,Dec,21.96909785,Momba
2013,Dec,21.28243067,Chunya
2013,Dec,19.7311634,Ileje
2013,Dec,22.99979786,Kyela
2013,Dec,18.42509312,Mbeya Urban
2013,Dec,19.87596701,Rungwe
2013,Dec,20.01626182,Tunduma
2013,Dec,24.17426623,Administrative unit not available
2014,Jan,21.51589531,Mbarali
2014,Jan,18.94143464,Mbeya Rural
2014,Jan,20.20092925,Mbozi
2014,Jan,21.4466619,Momba
2014,Jan,21.04601548,Chunya
2014,Jan,19.84950534,Ileje
2014,Jan,23.4131858,Kyela
2014,Jan,18.1280739,Mbeya Urban
2014,Jan,20.14540408,Rungwe
